,CN A,CN B,CN C,CN D,CN E,CN F,CN G,CN H,AC 1,AC 2,AC 3,AC 4,AC 5,AC 6,AC 7,AC 8
8:25,,Dance Support,,,,,,Dance Support,Dance Accomodations,Dance Coordinator,Time-off,Site-Office,Dance DJ,,,
8:30,,Dance Support,,,,,,Dance Support,Dance Accomodations,Dance Coordinator,Time-off,Site-Office,Dance DJ,,,
8:35,,Dance Support,,,,,,Dance Support,Dance Accomodations,Dance Coordinator,Time-off,Site-Office,Dance DJ,,,
8:40,,Dance Support,,,,,,Dance Support,Dance Accomodations,Dance Coordinator,Time-off,Site-Office,Dance DJ,,,
8:45,,,,,,,,,,Dance Coordinator,Time-off,Site-Office,Dance DJ,,,
8:50,,,,,,,,,,Dance Coordinator,Time-off,Site-Office,Dance DJ,,,
8:55,,,,,,,,,,Dance Coordinator,Time-off,Site-Office,Dance DJ,,,
9:00,,,,,,,,,,,,Site-Office,,,,
9:05,,,,,,,,,,,,Site-Office,,,,
9:10,,,,,,,,,,,,Site-Office,,,,
9:15,,,,,,,,,,,,Site-Office,,,,
9:20,,,,,,,,,,,,Site-Office,,,,
9:25,,,,,,,,,,,,Site-Office,,,,
9:30,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
9:35,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
9:40,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
9:45,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
9:50,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
9:55,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
10:00,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
10:05,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
10:10,,,,,,,,,Meeting,Meeting,Meeting,Site-Office,Meeting,Meeting,Meeting,Meeting
